bairro;faixaCep
Alto da Tubiba;58708-350 à 58708-530
Ana Leite;58706-800 à 58706-810
Área Rural de Patos;58708-899 à 58708-899
Bela Vista;58704-400 à 58704-682
Belo Horizonte;58704-000 à 58704-390
Bivar Olinto;58701-600 à 58701-883
Brasília;58700-300 à 58700-490
Centro;58700-002 à 58709-970
Distrito Industrial;58705-750 à 58705-760
Estados;58705-790 à 58705-870
Jardim Europa;58705-000 à 58705-110
Jardim Magnólia;58705-500 à 58705-680
Jatobá;58707-200 à 58707-480
Liberdade;58703-000 à 58703-971
Maternidade;58701-300 à 58701-900
Monte Castelo;58707-000 à 58707-190
Morada do Sol;58703-340 à 58703-445
Morro;58703-230 à 58703-295
Noé Trajano;58705-115 à 58705-235
Nova Conquista;58708-200 à 58708-280
Novo Horizonte;58703-610 à 58704-830
Salgadinho;58706-503 à 58706-690
Santa Cecília;58708-000 à 58708-190
Santo Antônio;58701-000 à 58701-230
São Sebastião;58706-000 à 58706-440
Sete Casas;58705-275 à 58705-392
