bairro;logradouro;cep
Alto da Tubiba;Rua Antônio Aureliano de Brito;58708-370
Alto da Tubiba;Rua Antônio Rui de Brito;58708-382
Alto da Tubiba;Rua Antônio Tranca Ruas;58708-530
Alto da Tubiba;Rua Delmiro Alves Monteiro;58708-380
Alto da Tubiba;Rua Doutor Rui Pereira;58708-510
Alto da Tubiba;Rua Francisca Inácia Lima;58708-350
Alto da Tubiba;Rua Francisco Trindade;58708-515
Alto da Tubiba;Rua Irineu Lacerda;58708-360
Alto da Tubiba;Rua Jonas Avelino de Figueiredo;58708-372
Alto da Tubiba;Rua José Gaspar;58708-520
Alto da Tubiba;Rua José Joaquim;58708-384
Alto da Tubiba;Rua José Melquíades;58708-500
Alto da Tubiba;Travessa José Melquíades;58708-502
Alto da Tubiba;Rua Manoel Luiz Irmão - Né Luiz;58708-371
Alto da Tubiba;Rua Martinho Monteiro Dias;58708-374
Alto da Tubiba;Rua Ramiro Pereira dos Santos;58708-390
Alto da Tubiba;Rua Severino Alves;58708-392
Alto da Tubiba;Rua Severino Gomes Montenegro - Severino Mineral;58708-373
Alto da Tubiba;Rua Tomaz Medeiros;58708-365
Ana Leite;Rodovia BR-230;58706-810
Ana Leite;Rua Severino Lustosa Morais;58706-800
Área Rural de Patos;Área Rural;58708-899
Bela Vista;Rua Abílio Melquíades da Costa;58704-493
Bela Vista;Rua Adalberto Bernardo Nunes;58704-606
Bela Vista;Rua Almir Ferreira da Cunha;58704-600
Bela Vista;Rua Antônio C Lucena;58704-495
Bela Vista;Rua Antônio Gomes da Costa;58704-412
Bela Vista;Rua Antônio Justino;58704-620
Bela Vista;Travessa Antônio Justino;58704-625
Bela Vista;Rua Antônio Macedo;58704-463
Bela Vista;Travessa Antônio Vieira;58704-473
Bela Vista;Rua Bancário Jarbas Moura da Costa;58704-430
Bela Vista;Travessa Bancário Jarbas Moura da Costa;58704-435
Bela Vista;Rua Braz Macena;58704-530
Bela Vista;Travessa Braz Macena;58704-535
Bela Vista;Rua Cândido das Laranjeiras;58704-465
Bela Vista;Travessa Cassemiro Ricarte;58704-632
Bela Vista;Rua Cinco de Agosto;58704-400
Bela Vista;Travessa Cinco de Agosto;58704-405
Bela Vista;Rua Dom Bosco;58704-428
Bela Vista;Rua Dona Cícera Pereira da Silva;58704-533
Bela Vista;Rua Dona Estelina Oliveira Andrade;58704-608
Bela Vista;Travessa Dona Maria Ceci Vilar;58704-478
Bela Vista;Rua Francisco Macaíba;58704-655
Bela Vista;Travessa Francisco Ricarte de Carvalho;58704-477
Bela Vista;Rua Francisco Rodrigues;58704-510
Bela Vista;Rua Francisco Vicente Araújo;58704-560
Bela Vista;Rua Galdino Guedes;58704-410
Bela Vista;Rua Hildo Menezes;58704-540
Bela Vista;Travessa Horácio Nóbrega;58704-425
Bela Vista;Rua Horácio Nóbrega;58704-440
Bela Vista;Rua Isabel Fernandes;58704-580
Bela Vista;Rua José Alves da Costa;58704-665
Bela Vista;Rua José Emídio dos Santos;58704-602
Bela Vista;Rua Joventino Machado;58704-490
Bela Vista;Rua Juca Fiscal;58704-660
Bela Vista;Rua Juvenal Ledo;58704-470
Bela Vista;Travessa Juvenal Ledo;58704-475
Bela Vista;Rua Juvenal Lúcio;58704-500
Bela Vista;Rua Luiz Félix Lima;58704-640
Bela Vista;Travessa Luiz Félix Lima;58704-645
Bela Vista;Rua Manoel Alexandrino Palmeira;58704-536
Bela Vista;Rua Maria das Dores Gonçalves da Silva;58704-604
Bela Vista;Travessa Mestre Félix;58704-485
Bela Vista;Rua Moacir Leitão;58704-630
Bela Vista;Rua Olivan Queiroz;58704-520
Bela Vista;Travessa Olivan Queiroz;58704-555
Bela Vista;Rua Oton Fagundes de Araújo;58704-570
Bela Vista;Rua Panatis;58704-480
Bela Vista;Rua Pedro Carneiro Bastos;58704-663
Bela Vista;Travessa Piano de Sousa;58704-482
Bela Vista;Travessa Santa Luzia;58704-502
Bela Vista;Rua Santa Luzia;58704-505
Bela Vista;Rua Sargento Eme Cavalcante;58704-658
Bela Vista;Rua Sargento Everaldo;58704-415
Bela Vista;Rua Sílvia Ramos Cavalcante de Araújo;58704-680
Bela Vista;Travessa Sílvia Ramos Cavalcante de Araújo;58704-682
Bela Vista;Rua Tenente Ananias Vicente da Silva;58704-550
Bela Vista;Rua Terto Zacarias;58704-420
Bela Vista;Rua Titico Gomes;58704-460
Bela Vista;Travessa Titico Gomes;58704-468
Bela Vista;Rua Venâncio Costa;58704-588
Belo Horizonte;Rua Alexandre de Carvalho;58704-240
Belo Horizonte;Rua Aluízio de Queiroz Melo;58704-370
Belo Horizonte;Rua Anália Palmeira;58704-278
Belo Horizonte;Travessa Antônio Carneiro de Lucena;58704-109
Belo Horizonte;Rua Antônio Justino;58704-343
Belo Horizonte;Rua Antônio Macedo;58704-050
Belo Horizonte;Travessa Antônio Macedo;58704-055
Belo Horizonte;Rua Antônio Urquiza;58704-040
Belo Horizonte;Rua Bancário Jarbas Moura da Costa;58704-365
Belo Horizonte;Rua Beltrando de Azevedo;58704-030
Belo Horizonte;Travessa Beltrando de Azevedo;58704-035
Belo Horizonte;Travessa Biribiu;58704-152
Belo Horizonte;Rua Cândido das Laranjeiras;58704-090
Belo Horizonte;Rua Carlota César;58704-130
Belo Horizonte;Travessa Carlota César;58704-135
Belo Horizonte;Travessa da Palmeira;58704-075
Belo Horizonte;Rua da Zilson Vieira de Lucena;58704-070
Belo Horizonte;Rua Dom Pedro II;58704-038
Belo Horizonte;Rua Doutor Enaldo Torres Fernandes;58704-255
Belo Horizonte;Rua Doutor Rui Pereira;58704-100
Belo Horizonte;Rua Epaminondas Rocha;58704-360
Belo Horizonte;Travessa Francisca Maria da Silva;58704-133
Belo Horizonte;Travessa Francisco Alves Queiroz;58704-190
Belo Horizonte;Rua Francisco Alves Queiroz;58704-260
Belo Horizonte;Rua Francisco Antônio do Nascimento;58704-378
Belo Horizonte;Rua Francisco Brandão;58704-120
Belo Horizonte;Travessa Francisco Brandão;58704-125
Belo Horizonte;Rua Francisco Candeias do Nascimento;58704-105
Belo Horizonte;Rua Francisco de Assis Cabral;58704-358
Belo Horizonte;Rua Francisco Marcelino de Morais;58704-272
Belo Horizonte;Rua Francisco Moreira Viana;58704-275
Belo Horizonte;Rua Horácio Nóbrega;58704-000
Belo Horizonte;Rua Inácio Fernandes Nóbrega;58704-270
Belo Horizonte;Rua João Avelino;58704-390
Belo Horizonte;Rua João Domingos de Queiroz;58704-140
Belo Horizonte;Rua João Rodrigues Alves;58704-290
Belo Horizonte;Rua Joaquim Luiz Serpa;58704-362
Belo Horizonte;Rua Jornalista Assis Chateaubriand;58704-060
Belo Horizonte;Rua José Aires de Lucena;58704-160
Belo Horizonte;Rua José Carlos A Freitas;58704-285
Belo Horizonte;Travessa José Honório de Sousa;58704-233
Belo Horizonte;Rua José Willians Braga Júnior;58704-045
Belo Horizonte;Rua Juvenal Lúcio;58704-230
Belo Horizonte;Travessa Juvenal Lúcio;58704-235
Belo Horizonte;Rua Laura de Medeiros Andrade;58704-315
Belo Horizonte;Rua Laurênio de Queiroz;58704-220
Belo Horizonte;Travessa Laurênio de Queiroz;58704-225
Belo Horizonte;Rua Laurindo Nunes Perinico;58704-325
Belo Horizonte;Rua Leonidas Severino de Araújo;58704-041
Belo Horizonte;Rua Luís José;58704-310
Belo Horizonte;Rua Major Cícero Sátiro;58704-340
Belo Horizonte;Rua Manoel Medeiros;58704-320
Belo Horizonte;Rua Manoel Pereira Neto;58704-170
Belo Horizonte;Travessa Manoel Pereira Neto;58704-175
Belo Horizonte;Rua Mestre Chiquinho;58704-058
Belo Horizonte;Rua Moacir Leitão;58704-330
Belo Horizonte;Travessa Moacir Leitão;58704-335
Belo Horizonte;Praça Nossa Senhora de Fátima;58704-200
Belo Horizonte;Rua Panatis;58704-110
Belo Horizonte;Travessa Panatis;58704-115
Belo Horizonte;Rua Paulino Gondin;58704-080
Belo Horizonte;Rua Pedra Branca;58704-020
Belo Horizonte;Rua Pedro Nicácio;58704-373
Belo Horizonte;Rua Pedro Peixoto;58704-150
Belo Horizonte;Travessa Pedro Peixoto;58704-155
Belo Horizonte;Rua Plácido Magalhães;58704-350
Belo Horizonte;Rua Professora Antônia Barbosa Rodrigues;58704-042
Belo Horizonte;Rua Rocha Palmeira;58704-010
Belo Horizonte;Rua Santa Luzia;58704-250
Belo Horizonte;Rua Severina da Costa;58704-274
Belo Horizonte;Rua Severino Lopes da Silva;58704-025
Belo Horizonte;Travessa Severino Lopes da Silva;58704-032
Belo Horizonte;Travessa Tenente José Dinoá;58704-065
Belo Horizonte;Rua Vereador Né Marinho;58704-280
Belo Horizonte;Rua Vereador Severino Fernando de Assis;58704-210
